content,labels
"இந்த கேள்வியை கேட்க வேண்டிய இடத்தில் கேட்டிருந்தால் ஒரு குடும்பத்தின் சொத்தாக ஆகியிருக்காது, இப்படி 200க்கு போஸ்ட் போடாமல் கட்சியில் வேலை செய்பவர்களுக்கு பொறுப்பு கிடைத்திருக்கும்..! <hashtag/> <hashtag/>",Opinionated
மறக்குமா தமிழகம்?,Opinionated
"திமுக ஆட்சியில் விவசாயம், நெசவுத் தொழில் அழிந்துவிட்டது.! - அஇஅதிமுக பொதுச்செயலார் <hashtag/> k. palaniswami பேச்சு. <hashtag/> <hashtag/> <hashtag/> <hashtag/>",Positive
“தமிழ்நாட்டு மக்கள் என்ன சொல்றாங்கன்னு நேத்து ஒரு வீடியோ பார்த்தேன்….:backhand index pointing down medium-light skin tone:!” <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/>,Neutral
"<hashtag/> கோவில்களை எல்லாம் இடித்துவிட்டு யாருக்கு ஊதியம், ஓய்வு ஊதியம் கொடுக்கபோறீங்க ? <hashtag/> <hashtag/> <hashtag/> <hashtag/>",Opinionated
தம்பி அண்ணனுக்கு ஆதரவு கொடுத்த தருணம். நன்றி <hashtag/> <hashtag/>,Neutral
அப்படிலாம் இருக்க வாய்ப்பில்லையே.. <hashtag/> <hashtag/> <hashtag/>,Opinionated
பாஜகவின் மெயின் டீம் <hashtag/> <ok hand emoji/> <hashtag/>,Positive
எதற்கு கடைசி நிமிடம் வரை காத்திருக்க வேண்டும்? தேர்தல் சம்மந்தமான சந்தேகங்களை இப்பொழுதே தெளிவு படுத்திக் கொண்டால் நிம்மதியாக வாக்களிக்கலாம். <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/>,Sarcastic
அரசியல் நாகரிகம் என்று சில விடயங்கள் உள்ளது. அது சுத்தமாக <hashtag/> விடம் இல்லாமல் போகிறது.தமிழ்த்தேசியம் அமைய <hashtag/> கட்சி ஆரம்பித்தீர்களா இல்லை திமுகவை மட்டும் எதிர்க்க கட்சி ஆரம்பித்தீர்களா.,Negative
திமுக எதிர்த்து களமாடும் எதிர் கட்சியாக நாம் தமிழர் கட்சி... அவர்களே ஒப்புக்கொள்கிறார்கள்....,Opinionated
video link: திருச்சி திருப்புமுனை வெற்றி யாருக்கு? <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/>,Opinionated
எந்த ஆயுதமும் ஏந்த வேண்டும் என எதிரி காட்டுவான் எப்படி ஏந்த வேண்டும் என களம் காட்டும் <hashtag/> <hashtag/> <hashtag/> <hashtag/>,Neutral
"கழகப் பொதுச் செயலாளர் திரு. <hashtag/> k. <hashtag/> அவர்கள், செங்கல்பட்டு - ஸ்ரீ சைதன்ய திருமண மஹாலில், அனைத்துலக எம்.ஜி.ஆர் மன்ற இணைச் செயலாளர் திரு.தண்டரை k.<hashtag/> அவர்களின் மகன் m.<hashtag/> - p.<hashtag/> ஆகியோரது <hashtag/> <hashtag/> கலந்துகொண்டு <hashtag/> <hashtag/>",Positive
புதிதாக உருவாக்கப்பட்டுள்ள கிளம்பாக்கம் பேருந்து முனையம். (கோயம்பேடு பேருந்து நிலையத்திற்கு பதிலாக) பகுதிகளில் ஒரு நாள் மழைக்கே தேங்கிய மழைநீரில் ஊர்ந்து செல்லும் வாகனங்கள். 400 கோடி ரூபாய்<rolling on the floor laughing emoji/> சுவாகா<rolling on the floor laughing emoji/><rolling on the floor laughing emoji/> <hashtag/> <hashtag/> <hashtag/> <hashtag/>,Opinionated
கலவரம் செய்வது பாஜகவின் dna-வில் ஊறிப்போன ஒன்று - முதல்வர் ஸ்டாலின் <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/>,Positive
2024 - தேர்தல் - 40-ம் திமுகவுக்குத்தானா? - பி.ஜே.பி.க்கு 1-வது கிடைக்குமா? via <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/>,Neutral
ஓபிஎஸ்ஸின் பரிதாப நிலை. நோன்னோமலை கனவில் கூட அவர் அ.தி.மு.க செயலாளராக இருக்க முடியாதா? <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/>,Sarcastic
அந்த பயம் இருக்கட்டும் <fire emoji/> <fire emoji/> <fire emoji/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/>,Neutral
<red circle emoji/> தற்போது நேரலையில்..! மதுரை நாடாளுமன்றத் தொகுதி வெற்றி வேட்பாளர் அன்புத்தங்கை து.சத்யாதேவி அவர்களை ஆதரித்து இன்று (31-03-2024) மேலூரில் பெருந்தமிழர் கக்கன் சிலை அருகில் பரப்புரை <hashtag/>,Opinionated
தென் சென்னை தொகுதி நாடாளுமன்றத் நாம் தமிழர் கட்சி வேட்பாளர் பேராசிரியர் அம்மா சு.தமிழ்ச்செல்வி அவர்களுக்கு ஒலி வாங்கி ( மைக் ) சின்னம் வரிசை எண் : 10 வாக்களியுங்கள் தென் சென்னை மக்களே <studio microphone emoji/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <studio microphone emoji/>,Substantiated
"ஆடுதுறை பேரூராட்சி தலைவர், தஞ்சாவூர் மாவட்ட பா.ம.க செயலாளர் ம.க ஸ்டாலின் ரமலான் வாழ்த்து தெரிவித்துள்ளார்.l <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/>",Negative
பாஜக ஆட்சியின் முடிவுக்கான கவுன்ட்டவுன் ஸ்டார்ட்ஸ்! முதல்வர் ஸ்டாலின் விமர்சனம் <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/>,Negative
<hashtag/> திமுக டெபாசிட் இழக்கக்கூடிய முதல் தொகுதி கோவைதான் - அண்ணாமலை <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/>,Positive
திமுக அதிமுக it wink பொருப்பாளர்கள்<man facepalming emoji/> தேர்தலில் தான் போட்டி ஆனால் மது பார்ட்டியில் நண்பர்கள் <face vomiting emoji/> <hashtag/> <hashtag/> <hashtag/>,Sarcastic
ஈழ படுகொலை......2009... சோனியா காங்கிரஸ் அமைச்சரவையில் திமுகவிற்கு அதிக இடங்கள்.... <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/>,Neutral
அடிப்படை!அமைப்பு!!அரசியல் மாற்றம்!!! <hashtag/> எண் 6 <hashtag/> <hashtag/>,Substantiated
“யார் காணாமல் போவார்கள்..?” - அண்ணாமலைக்கு எடப்பாடி பழனிசாமி பதிலடி <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/>,Opinionated
ஜெயலலிதாவை போல் டிடிவி! <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/>,Opinionated
அண்ணாமலையின் அரசியல் எதிர்காலம்..டெல்லி பாஜகவின் ப்ளான்...உடைத்துப் பேசிய ஜெயவர்தன் <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/>,Opinionated
"நம் கடவுளை பழித்த தீயசக்தியை, திமுக எனும் அசுரனை வீழ்த்துவோம்! <hashtag/>",Opinionated
தவழ்ந்து தவழ்ந்து முதலமைச்சரான கூவத்தூர் பழனிசாமி! <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> full video:,Opinionated
தருமபுரியில் மொட்டை வெயிலில் பிரசாரம்... அடுக்கடுக்கான கேள்விகளை வீசும் சீமான் <hashtag/> <hashtag/>,Opinionated
தென் சென்னை நாடாளுமன்றத்திற்கு உட்பட்ட மயிலாப்பூர் தொகுதி mla தா.வேலு அவர்களை சந்தித்து தேர்தல் நோட்டீஸ் மற்றும் ஆதரவு தெரிவித்தனர்! <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/>,Opinionated
யானை வரும் முன்னே மணியோசை வரும் பின்னே என்று சொன்னாரே அவரின் பரப்புரை எடுபடுமா? கம்ப இராமாயணத்தை எழுதிய சேக்கிழார் என்று சொன்னாரே அவரின் பரப்புரை எடுபடுமா? என்றொரு கருத்துக் கணிப்பு நடத்தலாம். <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/>,Opinionated
40 தொகுதிகளிலும் முதலமைச்சர் மு.க.ஸ்டாலின்தான் வேட்பாளர் <black heart emoji/><red heart emoji/> - திமுகவின் வெற்றி வாய்ப்பு குறித்து அமைச்சர் அன்பில் மகேஸ் பேட்டி <hashtag/> <hashtag/> <hashtag/> <hashtag/>,Neutral
சின்ன திருடன் பெரிய திருடனை பார்த்து கேள்வி கேட்ட மாதிரி இருக்கு..<clapping hands emoji/><ok hand emoji/> 656 கோடி சும்மா குடுப்பார்களா..?? இவ்வளவு பணத்தையும் தேர்தல் பத்திரம் மூலம் வாங்கிட்டு என்னமோ உத்தமனாட்டம் நாடகம் போட்டுக்கிட்டு இருக்காங்க.. <hashtag/> <hashtag/> <hashtag/>,Sarcastic
"“15 சீட்டும், ₹1,000 கோடியும் தருவதாக கூட்டணிக்கு கூப்பிட்டாங்க. ஆனால் நான் போகல..!” -சீமான் <hashtag/> <hashtag/> <hashtag/>",Neutral
நெல்லை தொகுதி காங். வேட்பாளர் ராபர்ட் ப்ரூஸை ஆதரித்து மூவேந்தர் முன்னேற்றக் கழக தலைவர் ஸ்ரீதர் வாண்டையார் பரப்புரை <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/>,Substantiated
நண்பா ஹிட்லர் பற்றி வீடியோ போடுங்க,None of the above
அண்ணாமலையின் விமர்சனத்திற்கு அதிமுக முன்னாள் அமைச்சர் ஜெயக்குமார் பதில் <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/>,Opinionated
"சர்க்காரியா கமிஷன்னா சர்க்கரை திருடுணதுல கமிஷன் நினைச்சிட்டு இருக்கா பாரு தற்குரி கூமுட்டை, இவளுக்கு மண்டையில மூளை இருக்கா இல்லையா...",Sarcastic
ndia கூட்டணி உண்மையில் கூட்டணி தானா.? - seeman <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/>,Opinionated
இமைப்போல உனை காக்க நான் தேய்கிறேன் ஜீவனே. இந்த லிரிக்ஸ் கேட்கும் போது கண் கலங்குகிறது தலைவரே <loudly crying face emoji/><folded hands light skin tone emoji/> <hashtag/>,Sarcastic
இது தான்டா திராவிட மாடல் <hashtag/> <hashtag/>,Sarcastic
<hashtag/> பஸ்ஸுக்கு லிப்ஸ்டிக் மடடும் அடிச்சுட்டு விட்டா போதும்னு நினைச்சுருக்காங்க போல,Opinionated
"பெரம்பலூர் நாடாளுமன்றத் தொகுதியில் போட்டியிடும் திமுக வேட்பாளர் திரு.அருண் நேரு அவர்களை ஆதரித்து முசிறி சட்டமன்றத் தொகுதிக்கு உட்பட்ட தொட்டியம் ஒன்றியம், அரங்கூர் பகுதியில் வசிக்கும் பொதுமக்களிடம் நேரில் சென்று வாக்குகள் சேகரித்தேன். இந்நிகழ்வில் வடக்கு மாவட்டச் செயலாளர் திரு.காடுவெட்டி தியாகராஜன் ச.ம.உ அவர்கள் உடனிருந்தார். இதில் கழக நிர்வாகிகள், கழகத் தொண்டர்கள், இந்தியா கூட்டணியின் தொண்டர்கள் மற்றும் பொதுமக்கள் உள்ளிட்ட பலர் கலந்து கொண்டனர். <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/>",Positive
"தென்சென்னை நாடாளுமன்ற வேட்பாளர் திருமதி.தமிழச்சி தங்கபாண்டியன் அவர்களை சந்தித்து, தென்சென்னை கிழக்கு மாவட்டம் நிர்வாகிகள் தேர்தல் நோட்டீசை வழங்கினார்கள்! <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/>",Positive
களைகட்டும் தேர்தல் களம்நாம் தமிழர் தேர்தல் பாடல் வெளியீடுtamizhanangu <hashtag/> <hashtag/> full video link:,Opinionated
காவல்துறையினரின் பணி : * லாரில டிரைவர் கிட்ட 20ரூ கமிஷன் வாங்குறது * போஸ்டர் கிழிக்கறது * பஞ்சுமிட்டாய் காரன பிடிக்கறது * கிளி ஜோசியம் பாக்கறவன புடிக்கிறது. <hashtag/> <red heart emoji/> <black heart emoji/> ஆட்சியில்,Substantiated
உங்க team la என்னையும் சேர்த்துங்க தலைவா,None of the above
டீ மாஸ்டருக்கே டீயா? வாக்கு சேகரிப்பில் புது அப்ரோச்.! <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/>,Sarcastic
இந்தியாவே rent-ல் இருக்கிறது.. பாஜக மீது சீமான் பாய்ச்சல்.! <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/>,Positive
நீலகிரி மக்களவை வெற்றி வேட்பாளர் ஜெயக்குமார் அவர்களுடன் பேரறிவாளனின் தாயார் அற்புதம்மாள் <heart exclamation emoji/> <hashtag/> <hashtag/>,Positive
<hashtag/> முதன்முறையாக திமுகவை எதிர்த்துப் பின்வாங்க செய்த தென் சென்னை மக்கள் <clapping hands emoji/><clapping hands emoji/><clapping hands emoji/><clapping hands emoji/>,Negative
இன்று குமரி மாவட்டம் குளச்சல் தொகுதி சார்பாக குமரி நாடாளுமன்ற தொகுதி வேட்பாளர் திருமதி மரிய ஜெனிபர் அவர்களை ஆதரித்து வாகனப்பரப்புரை செய்தப் போது வரும் வழியில் இரும்புலி பகுதியில் விபத்தில் சிக்கிய ஆட்டோ மற்றும் படுகாயமடைந்த 4 பேரை மீட்ட நாம் தமிழர் உறவுகள்.,Sarcastic
"நாம்தமிழர் கட்சியின் சார்பாக நாடாளுமன்றத் தேர்தல் 2024 ல் போட்டியிடும் 20 பெண் மற்றும் 20 ஆண் வேட்பாளர்களில், <hashtag/> தொகுதியின் வெற்றி வேட்பாளராக களமிறங்கும், தொழில் முனைவோர் பா‌.சத்யா அவர்களுக்கு வாக்களித்து வெற்றிபெற வைப்போம். நாம் தமிழர் <flexed biceps emoji/> <hashtag/> <hashtag/> <hashtag/>",Sarcastic
இந்தியாவின் பெருமையை சிதைக்க பா.ஜ.க முயற்சி : தேர்தல் அறிக்கையை கடுமையாக விமர்சித்த திமுக!! <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/>,Negative
சென்னை akways சென்னை டா,None of the above
திருநெல்வேலி மக்களவைத் தொகுதி - ஓர் அறிமுகம் link: <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/>,Sarcastic
சீமான் பிஜேபியின் கைக்கூலி' கொந்தளித்த முன்னாள் பொறுப்பாளர் ntk raja interview <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/>,Negative
ntk ஆதரவு இல்லாத channel நடத்தும் அத்தனை வாக்கெடுப்பிலும் <hashtag/> <tiger face emoji/> தென்காசி தொகுதி :smiling face with heart-eyes::smiling face with heart-eyes::smiling face with heart-eyes: அண்ணன் மதிவாணன் <tiger face emoji/> <hashtag/> <hugging face emoji/>,Positive
"நாடும் நமதே, நாற்பதும் நமதே. 400 ம் நமதே,india வும் நமதே. goosebumps <fire emoji/><fire emoji/><fire emoji/> நாம தான் ஜெயிக்கிறோம் நாம மட்டும் தான் ஜெயிக்கிறோம்<fire emoji/><fire emoji/><fire emoji/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <black heart emoji/><heart suit emoji/><fire emoji/><fire emoji/>",Positive
"அண்ணாமலை ஒரு ஒட்டுச் செடி..<grinning squinting face emoji/> பாஜகவும்,காங்கிரசும் ஒன்று தான் <studio microphone emoji/><studio microphone emoji/><studio microphone emoji/><studio microphone emoji/> <hashtag/> <hashtag/>",Positive
tasmac கடையை பாதுகாக்க காவல்துறையா? - seeman ஆவேசம் <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/>,Opinionated
"கோழி திருடர்கள் வரும் நேரம் வந்துவிட்டது கவனமாக இருங்கள் மக்களே...! யம்மோவ் உங்க வீட்டுல எத்தனை ஓட்டு,.?? 4 ஓட்டு.. டேய் ஓட்டுக்கு 3 ஆயிரம் வச்சி 12 ஆயிரம் கொடு. பெரியார் பேரன்கள் இப்படி செய்யலாமா? பெரியாரா? அது யாருமா அதிமுக மாவட்ட செயலாளரா..! கண்டிப்பா ஓட்டு போட்டுறுங்க.",Neutral
பாஜக.வை ஆதரிக்க சீமான் போடும் கண்டிஷன்! <hashtag/> <hashtag/> <hashtag/> ... via <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/>,Substantiated
"சங்கீகள் போர் புரிந்து மீட்பார்களா..? இல்ல தி.மு.க ,காங்கிரஸ்னு மூக்கை சிந்திட்டு இருப்பார்களா.? <hashtag/>",Sarcastic
இனியும் பாஜக ஊழல் பற்றி பேசினால் - முதல்வர் <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/>,Neutral
`அதிமுக மீது பாஜகவுக்கு ஒன்சைட் லவ்' - குமுறிய ஓபிஎஸ்ஸின் மனசாட்சிகள் <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/>,Opinionated
நேற்றய சம்பவம் பல பேர் தூக்கத்தை கெடுத்திருக்கும்? 1ரூபாய் கொடுக்காமல் கூடிய பெரும் கூட்டம். பொதுக்கூட்டம் போல் நடந்த தெரு முனைக்கூட்டம்<fire emoji/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/>,Sarcastic
முட்டா உ.பிஸ் 50 ஆண்டுகால திராவிட ஆட்சி இதுவே சாட்சி<rolling on the floor laughing emoji/><rolling on the floor laughing emoji/><rolling on the floor laughing emoji/> அவலங்கள் தொடர் கதை<red heart emoji/><black heart emoji/> <hashtag/> <hashtag/> <face with hand over mouth emoji/><face with hand over mouth emoji/><rolling on the floor laughing emoji/><rolling on the floor laughing emoji/><rolling on the floor laughing emoji/>,Sarcastic
கும்பகோணம் மாநகரம் 3-வது பகுதி 36-வது வட்டத்தில் மாநகர இளைஞரணி சார்பில் மயிலாடுதுறை பாராளுமன்ற தொகுதிக்கு i.n.d.i.a கூட்டணியின் சார்பாக போட்டியிடும் வழக்கறிஞர் ஆர்.சுதா அவர்களுக்கு கை சின்னத்திற்கு வாக்கு சேகரித்தார்கள்... <hashtag/> <hashtag/> <hashtag/> <hashtag/>,Sarcastic
"இதேபோல் உங்கள் சொந்தம், நண்பர்களுக்கு whatsapp ல் அனுப்பிவைத்து நுன்னியலாக பரப்புங்கள். <hashtag/> <hashtag/> <hashtag/> <hashtag/>",Opinionated
தேசத்தை நாசமாக்கிய ஒரே சொல் ‘இலவசம்’...சீமான் எழுச்சி பேச்சு! <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/>,Positive
ஏன் நாம் தமிழர் கட்சிக்கு வாக்களிக்க வேண்டும்? அண்ணன் <studio microphone emoji/>நமது சின்னம் ஒலிவாங்கி<studio microphone emoji/> <hashtag/> <hashtag/>,Sarcastic
மேலும் படிக்க : <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/>,Sarcastic
"பாசிசத்தை வீழ்த்தி, இந்தியாவை காக்க ஸ்டாலின் அழைக்கிறார்! நாடும் நமதே! நாற்பதும் நமதே!<black heart emoji/><red heart emoji/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/>",Opinionated
திருமாவுக்கு வெற்றி உறுதி! மக்கள் வெள்ளத்தில் திருமா thirumavalan latest... via <hashtag/> <hashtag/>,Positive
அன்பின் வழியது உயிர்நிலை!! கோவையின் தேர்தல் களநிலவரம் கேட்டார் எங்கள் காப்பான்!!<purple heart emoji/>,Opinionated
"இந்திய நாடாளுமன்ற புதிய கட்டிடத்தில் இந்தி , ஆங்கிலம் இருக்கிறது . ஏன் செத்து போன சமஸ்கிருதம் கூட இருக்கிறது , தமிழ் ஏன் இல்லை . மதுரை வேட்பாளர் சத்யாதேவி அவர்களை ஆதரித்து மேலூரில் வாக்குச் சேகரித்த -செந்தமிழன் சீமான் தலைமை ஒருங்கிணைப்பாளர் <hashtag/> <hashtag/> <hashtag/>",Negative
என்ன காந்தி இறந்துட்டாரா? கச்சத்தீவு குறித்து பிரதமர் பேசியதற்கு சீமான் கிண்டல்...! <rolling on the floor laughing emoji/><rolling on the floor laughing emoji/><rolling on the floor laughing emoji/> <hashtag/> <hashtag/> <hashtag/>,Substantiated
"ஆமாம், மீண்டும் அப்படித்தான் பேசுவேன். நான் சொல்வதில் உண்மை உள்ளது. சும்மா மிரட்டி பார்க்காதீர்கள். <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/>",Opinionated
2009 இதே பொய்.,Negative
யார் வெல்ல வாய்ப்பு? தொகுதி - பொள்ளாச்சி <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/>,Opinionated
<hashtag/> மருத்துவர் அய்யா <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/>,Sarcastic
"பாவம் செய்த திருவாரூர் தொகுதி , வாக்கை மைக் சின்னத்தில் செலுத்துங்கள் சரியாகிவிடும். -செந்தமிழன் சீமான் தலைமை ஒருங்கிணைப்பாளர் <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/>",Substantiated
"இப்படி மாறி மாறி மாறி மாறி இரட்டை வேடம் போடும், கருப்புக்குடையோடு வந்தால் வல்லவராயர் எதிர்ப்பு என்று எண்ணிவிடுவாரோ என்பதால் வெள்ளைக் குடை ஏந்தி வந்த காரணத்தால், நீங்கள் வெள்ளைக் குடை ஏந்திய பொம்மை வேந்தர் என்று அன்போடு அழைக்கப்படுவீர்கள் திரு அவர்களே! <hashtag/> <hashtag/>",Sarcastic
ஒரே ஒரு கூட்டம் தான் மொத்தமும் காலி - முதல்வர் <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/>,Negative
கொத்துக்குறி *<hashtag/> *<hashtag/> பல எழுச்சிகளுயும் புரட்சிகளுயும் வரலாறு முழுக்க உருவாக உறுதுணையாக இருந்தது ஒலிவாங்கி,Substantiated
வாழ்த்துக்கள் தருமபுரி உறவுகளுக்கு.......<yellow heart emoji/><red heart emoji/> நாம் சிறுபான்மையினர் அல்ல தமிழ் பேரினத்தின் பெரும்பான்மையான கூட்டம் <fire emoji/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/>,Negative
ஞாயிறு விருந்து உறுதி<collision emoji/><collision emoji/><collision emoji/> காளியின் சம்பவம் loading... <hashtag/> <hashtag/> <hashtag/>,Sarcastic
<hundred points emoji/> உண்மை!! <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <man supervillain emoji/><ogre emoji/><skull and crossbones emoji/> <hashtag/> <hashtag/>,Sarcastic
விடுமுறை தினமா? தமிழ்ப் புத்தாண்டா? <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/>,Neutral
உத்தரவு வந்தாதான் உணவு' - அலுவலர்கள் தட்டேந்தி நின்ற அவலம் <hashtag/> நடைபெற்ற வாக்குச்சாவடி அலுவலர்களுக்கான பயிற்சி வகுப்ப்பில் <hashtag/> கீழ்தரமாக நடத்தும் <hashtag/> இந்த தேர்தலில் சரியான பாடம் புகட்டுங்கள் <hashtag/> <hashtag/> <hashtag/>,Neutral
உசிலம்பட்டியில் பணத்துக்காக டோக்கன் தரப்பட்டு வருகிறது. எல்லா தொகுதியில் இதுபோல் நடக்கிறதா என்று நமது உறவுகள் அனைவரும் கண்காணித்து சமூக வலைவத்தில் மற்றும் தேர்தல் ஆணையத்திற்கு பரப்புங்கள்.,Neutral
வாக்குஇயந்திரத்தில் வரிசைஎண் 7 ல் <hashtag/> பாராளுமன்ற வேட்பாளர் அக்கா சத்யா அவர்களுக்கு <hashtag/> <hashtag/> சின்னத்தில் வாக்களிக்கவேண்டும் <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/>,Positive
“எத்தனை பொய்களைத்தான் நாடு தாங்கும்? காதுகள் பாவமில்லையா..” - முதல்வர் ஸ்டாலின் <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/>,Positive
பல பேரு ஒலிவாங்கி மைக் சத்தத்தில நெஞ்சு வெடித்து சாகப்போரானுங்க <hashtag/>,Negative
"evm ல் சின்னம் இப்படிதான் இருக்கும், அனைவருக்கும் பகிருங்கள் <hashtag/> <hashtag/> <hashtag/>",Negative
இப்படிக்கு பயத்தில் திருட்டு திமுக <face with tears of joy emoji/><face with tears of joy emoji/><face with tears of joy emoji/> <hashtag/> <hashtag/>,Sarcastic
மனிதநேய மக்களாட்சி தொய்வின்றி தொடர… நீங்கள் செய்ய வேண்டியது இதுதான் ; கதிர் ஆனந்த் வாக்குசேகரிப்பு...!! <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/>,Substantiated
"ரூ1000கோடி 15 நாடாளுமன்ற தொகுதி, 2026 தேர்தலில் முதலமைச்சர் பதவி என்று கூறி எங்களைக் கூட்டணிக்கு அழைத்தார்கள்... <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/>",Neutral
<studio microphone emoji/>+ 3 விரலை திரும்ப திரும்ப காட்டியிருக்காங்க.. தமிழ்நாட்டில் 3வது பெரிய கட்சி யார்? <hashtag/> <hashtag/> <hashtag/> <hashtag/>,Opinionated
நீலகிரி தொகுதி வேட்பாளர் அண்ணன் ஜெயக்குமார் அவர்கள் தீவிர வாக்குச் சேகரிப்பில் . ஏழை விவசாயியும் mp வேட்பாளராக போட்டியிட முடியும் என்பது நாம் தமிழர் கட்சியில் மட்டுமே சாத்தியம் <studio microphone emoji/>🫶:medium-light skin tone: <hashtag/> <hashtag/> <hashtag/>,Opinionated
"தமிழர் உரிமை மீட்போம்! தமிழ்நாடு காப்போம்! ஒற்றுமையுடன் வாக்களித்து, நமது வெற்றிச் சின்னமான இரட்டை இலையை வெற்றி பெற செய்வோம்! <hashtag/> <hashtag/> <hashtag/>",Positive
